
Date, Type, Description, Value, Balance, Account Name, Account Number

01/01/2017,BAC,"SALARY PAYMENT",565.00,0.00,"Current Account","123456",
02/01/2017,POS,"'3566 31DEC16 0000 , BIG PETROL STATION",-79.50,0.00,"Current Account","123456",
02/01/2017,POS,"'3566 31DEC16 0913 , SAINSBURYS SUPMKTS",-16.88,0.00,"Current Account","123456",
02/01/2017,D/D,"'BT GROUP PLC",-66.00,0.00,"Current Account","123456",
05/01/2017,INT,"'4JAN NET Interest Payment",1.25,0.00,"Current Account","123456",
05/01/2017,POS,"'3566 02JAN17 0000 , HALFORDS , YOUR TOWN",-36.17,0.00,"Current Account","123456",
05/01/2017,POS,"'3566 30DEC16 1031 , PRIMARK , YOUR TOWN",-9.00,0.00,"Current Account","123456",
05/01/2017,POS,"'3566 02JAN09 1450 , TESCO SUPERMARKETS",-35.00,0.00,"Current Account","123456",
05/01/2017,D/D,"'COUNCIL SERVICES",-133.00,0.00,"Current Account","123456",
06/01/2017,D/D,"'O2 MOBILE PHONE COMPANY",-34.25,0.00,"Current Account","123456",
